ʔ;10,10,0,0,0,0
h;10,25,0,0,0,0
ɦ;10,25,0,0,0,1
q;30,10,0,0,0,0
ɢ;30,10,0,0,0,1
ɴ;30,10,0,1,0,1
χ;30,25,0,0,0,0
ʁ;30,25,0,0,0,1
ʀ;30,27,0,0,0,1
k;40,10,0,0,0,0
ɡ;40,10,0,0,0,1
ŋ;40,10,0,1,0,1
x;40,25,0,0,0,0
ɣ;40,25,0,0,0,1
ɰ;40,30,0,0,0,1
w;40,30,1,0,0,1
ʍ;40,30,1,0,0,0
ʟ;40,30,0,0,1,1
c;50,10,0,0,0,0
ɟ;50,10,0,0,0,1
ɲ;50,10,0,1,0,1
c͡ɕ;50;13,0,0,0,0
ɟ͡ʑ;50;13,0,0,0,1
c͡ç;50,15,0,0,0,0
ɟ͡ʝ;50,15,0,0,0,1
ɕ;50;23,0,0,0,0
ʑ;50;23,0,0,0,1
ç;50,25,0,0,0,0
ʝ;50,25,0,0,0,1
j;50,30,0,0,0,1
ɥ;50,30,1,0,0,1
ʎ;50,30,0,0,1,1
t͡ʃ;60,13,0,0,0,0
d͡ʒ;60,13,0,0,0,1
ʃ;60,23,0,0,0,0
ʒ;60,23,0,0,0,1
ɽ;60,28,0,0,0,1
ɻ;60,30,0,0,0,1
ɭ;60,30,0,0,1,1
t;70,10,0,0,0,0
d;70,10,0,0,0,1
n;70,10,0,1,0,1
t͡s;70,13,0,0,0,0
d͡z;70,13,0,0,0,1
s;70,23,0,0,0,0
z;70,23,0,0,0,1
ɬ;70,23,0,0,1,0
ɮ;70,23,0,0,1,1
r;70,27,0,0,0,1
ɾ;70,28,0,0,0,1
ɹ;70,30,0,0,0,1
l;70,30,0,0,1,1
θ;80,25,0,0,0,0
ð;80,25,0,0,0,1
ɱ;90,10,0,1,0,1
p͡f;90,15,0,0,0,0
f;90,25,0,0,0,0
v;90,25,0,0,0,1
ʋ;90,30,0,0,0,1
p;100,10,0,0,0,0
b;100,10,0,0,0,1
m;100,10,0,1,0,1
ɸ;100,25,0,0,0,0
β;100,25,0,0,0,1
